Frequency,Magnitue,Phase
1.07473155424171e+00,-2.72685390169413e+01,8.27857570908702e+01
1.07497904882006e+00,-2.72665565909123e+01,8.27844443823839e+01
1.07522660039270e+00,-2.72645741720253e+01,8.27831313059925e+01
1.07547420897276e+00,-2.72625917602829e+01,8.27818178616346e+01
1.07572187457337e+00,-2.72606093556883e+01,8.27805040492489e+01
1.07596959720766e+00,-2.72586269582442e+01,8.27791898687738e+01
1.07621737688876e+00,-2.72566445679537e+01,8.27778753201481e+01
1.07646521362981e+00,-2.72546621848196e+01,8.27765604033102e+01
1.07671310744394e+00,-2.72526798088448e+01,8.27752451181988e+01
1.07696105834431e+00,-2.72506974400323e+01,8.27739294647524e+01
1.07720906634406e+00,-2.72487150783849e+01,8.27726134429095e+01
1.07745713145634e+00,-2.72467327239056e+01,8.27712970526086e+01
1.07770525369429e+00,-2.72447503765974e+01,8.27699802937883e+01
1.07795343307108e+00,-2.72427680364631e+01,8.27686631663870e+01
1.07820166959987e+00,-2.72407857035056e+01,8.27673456703432e+01
1.07844996329380e+00,-2.72388033777279e+01,8.27660278055953e+01
1.07869831416606e+00,-2.72368210591329e+01,8.27647095720818e+01
1.07894672222980e+00,-2.72348387477235e+01,8.27633909697410e+01
1.07919518749820e+00,-2.72328564435026e+01,8.27620719985115e+01
1.07944370998442e+00,-2.72308741464732e+01,8.27607526583316e+01
1.07969228970166e+00,-2.72288918566382e+01,8.27594329491396e+01
1.07994092666308e+00,-2.72269095740005e+01,8.27581128708739e+01
1.08018962088186e+00,-2.72249272985630e+01,8.27567924234729e+01
1.08043837237120e+00,-2.72229450303287e+01,8.27554716068749e+01
1.08068718114428e+00,-2.72209627693006e+01,8.27541504210182e+01
1.08093604721430e+00,-2.72189805154814e+01,8.27528288658411e+01
1.08118497059444e+00,-2.72169982688742e+01,8.27515069412818e+01
1.08143395129791e+00,-2.72150160294819e+01,8.27501846472787e+01
1.08168298933790e+00,-2.72130337973075e+01,8.27488619837700e+01
1.08193208472763e+00,-2.72110515723538e+01,8.27475389506939e+01
1.08218123748029e+00,-2.72090693546238e+01,8.27462155479886e+01
1.08243044760910e+00,-2.72070871441204e+01,8.27448917755924e+01
1.08267971512727e+00,-2.72051049408466e+01,8.27435676334434e+01
1.08292904004801e+00,-2.72031227448054e+01,8.27422431214798e+01
1.08317842238455e+00,-2.72011405559995e+01,8.27409182396398e+01
1.08342786215011e+00,-2.71991583744321e+01,8.27395929878615e+01
1.08367735935791e+00,-2.71971762001060e+01,8.27382673660829e+01
1.08392691402117e+00,-2.71951940330241e+01,8.27369413742423e+01
1.08417652615314e+00,-2.71932118731895e+01,8.27356150122778e+01
