Frequency,Magnitude,Phase
1.99067333898716e+00,-2.11531254551904e+01,8.41500345391504e+01
1.99526231496885e+00,-2.11332625100087e+01,8.41374787525828e+01
1.99986186963271e+00,-2.11134001914110e+01,8.41248923169053e+01
2.00447202736513e+00,-2.10935385022623e+01,8.41122751683674e+01
2.00909281260870e+00,-2.10736774454406e+01,8.40996272430751e+01
2.01372424986236e+00,-2.10538170238369e+01,8.40869484769926e+01
2.01836636368153e+00,-2.10339572403544e+01,8.40742388059375e+01
2.02301917867824e+00,-2.10140980979109e+01,8.40614981655891e+01
2.02768271952125e+00,-2.09942395994352e+01,8.40487264914800e+01
2.03235701093619e+00,-2.09743817478708e+01,8.40359237190028e+01
2.03704207770569e+00,-2.09545245461743e+01,8.40230897834014e+01
2.04173794466950e+00,-2.09346679973148e+01,8.40102246197811e+01
2.04644463672464e+00,-2.09148121042745e+01,8.39973281630984e+01
2.05116217882553e+00,-2.08949568700504e+01,8.39844003481716e+01
2.05589059598411e+00,-2.08751022976516e+01,8.39714411096687e+01
2.06062991326997e+00,-2.08552483901014e+01,8.39584503821139e+01
2.06538015581050e+00,-2.08353951504358e+01,8.39454280998915e+01
2.07014134879101e+00,-2.08155425817054e+01,8.39323741972352e+01
2.07491351745488e+00,-2.07956906869741e+01,8.39192886082358e+01
2.07969668710366e+00,-2.07758394693192e+01,8.39061712668368e+01
2.08449088309726e+00,-2.07559889318318e+01,8.38930221068407e+01
2.08929613085401e+00,-2.07361390776175e+01,8.38798410618996e+01
2.09411245585086e+00,-2.07162899097953e+01,8.38666280655212e+01
2.09893988362349e+00,-2.06964414314981e+01,8.38533830510650e+01
2.10377843976644e+00,-2.06765936458727e+01,8.38401059517493e+01
2.10862814993326e+00,-2.06567465560801e+01,8.38267967006404e+01
2.11348903983661e+00,-2.06369001652963e+01,8.38134552306597e+01
2.11836113524847e+00,-2.06170544767100e+01,8.38000814745815e+01
2.12324446200018e+00,-2.05972094935257e+01,8.37866753650343e+01
2.12813904598268e+00,-2.05773652189607e+01,8.37732368344978e+01
2.13304491314654e+00,-2.05575216562477e+01,8.37597658153045e+01
2.13796208950220e+00,-2.05376788086335e+01,8.37462622396383e+01
2.14289060112002e+00,-2.05178366793797e+01,8.37327260395350e+01
2.14783047413050e+00,-2.04979952717623e+01,8.37191571468848e+01
2.15278173472434e+00,-2.04781545890719e+01,8.37055554934250e+01
2.15774440915263e+00,-2.04583146346137e+01,8.36919210107497e+01
2.16271852372698e+00,-2.04384754117079e+01,8.36782536303014e+01
2.16770410481966e+00,-2.04186369236899e+01,8.36645532833719e+01
2.17270117886371e+00,-2.03987991739086e+01,8.36508199011077e+01
2.17770977235312e+00,-2.03789621657294e+01,8.36370534145032e+01
2.18272991184296e+00,-2.03591259025325e+01,8.36232537544042e+01
2.18776162394952e+00,-2.03392903877122e+01,8.36094208515063e+01
2.19280493535041e+00,-2.03194556246792e+01,8.35955546363550e+01
2.19785987278479e+00,-2.02996216168580e+01,8.35816550393503e+01
2.20292646305342e+00,-2.02797883676900e+01,8.35677219907330e+01
2.20800473301886e+00,-2.02599558806310e+01,8.35537554206011e+01
2.21309470960560e+00,-2.02401241591521e+01,8.35397552588973e+01
2.21819641980018e+00,-2.02202932067405e+01,8.35257214354176e+01
2.22330989065136e+00,-2.02004630268990e+01,8.35116538798029e+01
2.22843514927026e+00,-2.01806336231447e+01,8.34975525215457e+01
2.23357222283049e+00,-2.01608049990125e+01,8.34834172899861e+01
2.23872113856830e+00,-2.01409771580516e+01,8.34692481143116e+01
2.24388192378273e+00,-2.01211501038269e+01,8.34550449235603e+01
2.24905460583574e+00,-2.01013238399203e+01,8.34408076466151e+01
2.25423921215239e+00,-2.00814983699285e+01,8.34265362122095e+01
2.25943577022094e+00,-2.00616736974651e+01,8.34122305489239e+01
2.26464430759302e+00,-2.00418498261596e+01,8.33978905851851e+01
2.26986485188378e+00,-2.00220267596579e+01,8.33835162492691e+01
2.27509743077203e+00,-2.00022045016213e+01,8.33691074692970e+01
2.28034207200038e+00,-1.99823830557281e+01,8.33546641732395e+01
2.28559880337539e+00,-1.99625624256725e+01,8.33401862889086e+01
2.29086765276773e+00,-1.99427426151661e+01,8.33256737439700e+01
2.29614864811232e+00,-1.99229236279358e+01,8.33111264659304e+01
2.30144181740847e+00,-1.99031054677266e+01,8.32965443821449e+01
2.30674718872003e+00,-1.98832881382985e+01,8.32819274198156e+01
2.31206479017555e+00,-1.98634716434294e+01,8.32672755059869e+01
2.31739464996844e+00,-1.98436559869133e+01,8.32525885675533e+01
2.32273679635706e+00,-1.98238411725620e+01,8.32378665312507e+01
2.32809125766496e+00,-1.98040272042036e+01,8.32231093236636e+01
2.33345806228096e+00,-1.97842140856829e+01,8.32083168712182e+01
2.33883723865931e+00,-1.97644018208625e+01,8.31934891001880e+01
2.34422881531988e+00,-1.97445904136225e+01,8.31786259366928e+01
2.34963282084826e+00,-1.97247798678583e+01,8.31637273066926e+01
2.35504928389597e+00,-1.97049701874858e+01,8.31487931359956e+01
2.36047823318053e+00,-1.96851613764352e+01,8.31338233502512e+01
2.36591969748571e+00,-1.96653534386558e+01,8.31188178749569e+01
2.37137370566161e+00,-1.96455463781146e+01,8.31037766354486e+01
2.37684028662483e+00,-1.96257401987956e+01,8.30886995569111e+01
2.38231946935864e+00,-1.96059349047005e+01,8.30735865643701e+01
2.38781128291313e+00,-1.95861304998493e+01,8.30584375826950e+01
2.39331575640534e+00,-1.95663269882788e+01,8.30432525365972e+01
2.39883291901944e+00,-1.95465243740454e+01,8.30280313506352e+01
