Frequency,Magnitude,Phase
1.06242920387110e+00,-8.53501910798610e+00,-1.12648906694670e+02
1.06267386540244e+00,-8.53328400561096e+00,-1.12653317639014e+02
1.06291858327567e+00,-8.53154900873347e+00,-1.12657729410991e+02
1.06316335750375e+00,-8.52981411738933e+00,-1.12662142010620e+02
1.06340818809967e+00,-8.52807933161499e+00,-1.12666555437915e+02
1.06365307507642e+00,-8.52634465144610e+00,-1.12670969692893e+02
1.06389801844696e+00,-8.52461007691853e+00,-1.12675384775570e+02
1.06414301822429e+00,-8.52287560806829e+00,-1.12679800685963e+02
1.06438807442141e+00,-8.52114124493144e+00,-1.12684217424088e+02
1.06463318705129e+00,-8.51940698754384e+00,-1.12688634989961e+02
1.06487835612694e+00,-8.51767283594147e+00,-1.12693053383597e+02
1.06512358166136e+00,-8.51593879016037e+00,-1.12697472605014e+02
1.06536886366754e+00,-8.51420485023649e+00,-1.12701892654226e+02
1.06561420215850e+00,-8.51247101620588e+00,-1.12706313531250e+02
1.06585959714723e+00,-8.51073728810450e+00,-1.12710735236102e+02
1.06610504864676e+00,-8.50900366596832e+00,-1.12715157768797e+02
1.06635055667008e+00,-8.50727014983356e+00,-1.12719581129350e+02
1.06659612123023e+00,-8.50553673973591e+00,-1.12724005317778e+02
1.06684174234022e+00,-8.50380343571168e+00,-1.12728430334096e+02
1.06708742001307e+00,-8.50207023779656e+00,-1.12732856178320e+02
1.06733315426181e+00,-8.50033714602710e+00,-1.12737282850464e+02
1.06757894509947e+00,-8.49860416043900e+00,-1.12741710350545e+02
1.06782479253907e+00,-8.49687128106848e+00,-1.12746138678576e+02
1.06807069659366e+00,-8.49513850795150e+00,-1.12750567834574e+02
1.06831665727627e+00,-8.49340584112410e+00,-1.12754997818554e+02
1.06856267459994e+00,-8.49167328062232e+00,-1.12759428630530e+02
1.06880874857771e+00,-8.48994082648248e+00,-1.12763860270519e+02
1.06905487922263e+00,-8.48820847874054e+00,-1.12768292738533e+02
1.06930106654776e+00,-8.48647623743252e+00,-1.12772726034589e+02
1.06954731056614e+00,-8.48474410259471e+00,-1.12777160158701e+02
1.06979361129082e+00,-8.48301207426292e+00,-1.12781595110885e+02
1.07003996873488e+00,-8.48128015247366e+00,-1.12786030891153e+02
1.07028638291136e+00,-8.47954833726286e+00,-1.12790467499522e+02
1.07053285383334e+00,-8.47781662866655e+00,-1.12794904936005e+02
1.07077938151388e+00,-8.47608502672121e+00,-1.12799343200617e+02
1.07102596596605e+00,-8.47435353146247e+00,-1.12803782293372e+02
1.07127260720292e+00,-8.47262214292684e+00,-1.12808222214286e+02
1.07151930523758e+00,-8.47089086115045e+00,-1.12812662963370e+02
1.07176606008310e+00,-8.46915968616929e+00,-1.12817104540642e+02
1.07201287175257e+00,-8.46742861801976e+00,-1.12821546946113e+02
1.07225974025906e+00,-8.46569765673811e+00,-1.12825990179799e+02
1.07250666561568e+00,-8.46396680236017e+00,-1.12830434241712e+02
1.07275364783550e+00,-8.46223605492244e+00,-1.12834879131868e+02
1.07300068693164e+00,-8.46050541446094e+00,-1.12839324850279e+02
1.07324778291717e+00,-8.45877488101200e+00,-1.12843771396960e+02
1.07349493580521e+00,-8.45704445461177e+00,-1.12848218771925e+02
1.07374214560886e+00,-8.45531413529652e+00,-1.12852666975186e+02
1.07398941234122e+00,-8.45358392310231e+00,-1.12857116006757e+02
1.07423673601540e+00,-8.45185381806577e+00,-1.12861565866653e+02
1.07448411664453e+00,-8.45012382022283e+00,-1.12866016554886e+02
1.07473155424171e+00,-8.44839392960955e+00,-1.12870468071470e+02
