Frequency,Magnitude,Phase,
1.1543,-7.9175,-114.2904,
1.1545,-7.9158,-114.2951,
1.1548,-7.9141,-114.2998,
1.1550,-7.9124,-114.3045,
1.1553,-7.9107,-114.3093,
1.1556,-7.9090,-114.3140,
1.1558,-7.9073,-114.3187,
1.1561,-7.9056,-114.3234,
1.1564,-7.9039,-114.3281,
1.1566,-7.9022,-114.3328,
1.1569,-7.9005,-114.3375,
1.1572,-7.8988,-114.3423,
1.1574,-7.8972,-114.3470,
1.1577,-7.8955,-114.3517,
1.1580,-7.8938,-114.3564,
1.1582,-7.8921,-114.3611,
1.1585,-7.8904,-114.3659,
1.1588,-7.8887,-114.3706,
1.1590,-7.8870,-114.3753,
1.1593,-7.8853,-114.3800,
1.1596,-7.8836,-114.3848,
1.1598,-7.8819,-114.3895,
1.1601,-7.8802,-114.3942,
1.1604,-7.8785,-114.3989,
1.1606,-7.8768,-114.4037,
1.1609,-7.8751,-114.4084,
1.1612,-7.8735,-114.4131,
1.1614,-7.8718,-114.4179,
1.1617,-7.8701,-114.4226,
1.1620,-7.8684,-114.4273,
1.1623,-7.8667,-114.4321,
1.1625,-7.8650,-114.4368,
1.1628,-7.8633,-114.4415,
1.1631,-7.8616,-114.4463,
1.1633,-7.8599,-114.4510,
1.1636,-7.8582,-114.4557,
1.1639,-7.8565,-114.4605,
1.1641,-7.8549,-114.4652,
1.1644,-7.8532,-114.4699,
1.1647,-7.8515,-114.4747,
1.1649,-7.8498,-114.4794,
1.1652,-7.8481,-114.4842,
1.1655,-7.8464,-114.4889,
1.1657,-7.8447,-114.4937,
1.1660,-7.8430,-114.4984,
1.1663,-7.8413,-114.5032,
1.1665,-7.8396,-114.5079,
1.1668,-7.8380,-114.5126,
1.1671,-7.8363,-114.5174,
1.1673,-7.8346,-114.5221,
1.1676,-7.8329,-114.5269,
1.1679,-7.8312,-114.5316,
1.1682,-7.8295,-114.5364,
1.1684,-7.8278,-114.5411,
1.1687,-7.8261,-114.5459,
1.1690,-7.8244,-114.5507,
1.1692,-7.8228,-114.5554,
1.1695,-7.8211,-114.5602,
1.1698,-7.8194,-114.5649,
1.1700,-7.8177,-114.5697,
1.1703,-7.8160,-114.5744,
1.1706,-7.8143,-114.5792,
1.1708,-7.8126,-114.5840,
1.1711,-7.8109,-114.5887,
1.1714,-7.8093,-114.5935,
1.1717,-7.8076,-114.5982,
1.1719,-7.8059,-114.6030,
1.1722,-7.8042,-114.6078,
1.1725,-7.8025,-114.6125,
1.1727,-7.8008,-114.6173,
1.1730,-7.7991,-114.6221,
1.1733,-7.7975,-114.6268,
1.1735,-7.7958,-114.6316,
1.1738,-7.7941,-114.6364,
1.1741,-7.7924,-114.6411,
1.1744,-7.7907,-114.6459,
1.1746,-7.7890,-114.6507,
1.1749,-7.7873,-114.6555,
1.1752,-7.7857,-114.6602,
1.1754,-7.7840,-114.6650,
1.1757,-7.7823,-114.6698,
1.1760,-7.7806,-114.6746,
1.1763,-7.7789,-114.6793,
1.1765,-7.7772,-114.6841,
1.1768,-7.7755,-114.6889,
1.1771,-7.7739,-114.6937,
1.1773,-7.7722,-114.6984,
1.1776,-7.7705,-114.7032,
1.1779,-7.7688,-114.7080,
1.1781,-7.7671,-114.7128,
1.1784,-7.7654,-114.7176,
1.1787,-7.7638,-114.7224,
1.1790,-7.7621,-114.7271,
1.1792,-7.7604,-114.7319,
1.1795,-7.7587,-114.7367,
1.1798,-7.7570,-114.7415,
1.1800,-7.7553,-114.7463,
1.1803,-7.7536,-114.7511,
1.1806,-7.7520,-114.7559,
1.1809,-7.7503,-114.7607,
1.1811,-7.7486,-114.7655,
1.1814,-7.7469,-114.7702,
1.1817,-7.7452,-114.7750,
1.1820,-7.7436,-114.7798,
1.1822,-7.7419,-114.7846,
1.1825,-7.7402,-114.7894,
1.1828,-7.7385,-114.7942,
1.1830,-7.7368,-114.7990,
1.1833,-7.7351,-114.8038,
1.1836,-7.7335,-114.8086,
1.1839,-7.7318,-114.8134,
1.1841,-7.7301,-114.8182,
1.1844,-7.7284,-114.8230,
1.1847,-7.7267,-114.8278,
1.1849,-7.7251,-114.8326,
1.1852,-7.7234,-114.8374,
1.1855,-7.7217,-114.8422,
1.1858,-7.7200,-114.8470,
1.1860,-7.7183,-114.8518,
1.1863,-7.7167,-114.8566,
1.1866,-7.7150,-114.8615,
1.1869,-7.7133,-114.8663,
1.1871,-7.7116,-114.8711,
1.1874,-7.7099,-114.8759,
1.1877,-7.7083,-114.8807,
1.1880,-7.7066,-114.8855,
1.1882,-7.7049,-114.8903,
1.1885,-7.7032,-114.8951,
1.1888,-7.7015,-114.8999,
1.1890,-7.6999,-114.9048,
1.1893,-7.6982,-114.9096,
1.1896,-7.6965,-114.9144,
1.1899,-7.6948,-114.9192,
1.1901,-7.6931,-114.9240,
1.1904,-7.6915,-114.9289,
1.1907,-7.6898,-114.9337,
1.1910,-7.6881,-114.9385,
1.1912,-7.6864,-114.9433,
1.1915,-7.6847,-114.9481,
1.1918,-7.6831,-114.9530,
1.1921,-7.6814,-114.9578,
1.1923,-7.6797,-114.9626,
1.1926,-7.6780,-114.9674,
1.1929,-7.6764,-114.9723,
1.1932,-7.6747,-114.9771,
1.1934,-7.6730,-114.9819,
1.1937,-7.6713,-114.9868,
1.1940,-7.6696,-114.9916,
1.1943,-7.6680,-114.9964,
